User_Id,Amount,Date,Time
357,2000,01-10-2022,00:03:00
776,2500,01-10-2022,00:03:00
492,5000,01-10-2022,00:06:00
803,5000,01-10-2022,00:07:00
875,1500,01-10-2022,00:09:00
39,4000,01-10-2022,00:11:00
539,500,01-10-2022,00:13:00
560,2500,01-10-2022,00:15:00
30,25000,01-10-2022,00:16:00
367,1000,01-10-2022,00:18:00
831,955,01-10-2022,00:21:00
618,2000,01-10-2022,00:24:00
837,516,01-10-2022,00:25:00
625,39000,01-10-2022,00:28:00
614,1300,01-10-2022,00:29:00
539,550,01-10-2022,00:32:00
557,5000,01-10-2022,00:37:00
28,50000,01-10-2022,00:40:00
674,5000,01-10-2022,00:42:00
526,5000,01-10-2022,00:43:00
749,1500,01-10-2022,00:43:00
202,4500,01-10-2022,00:45:00
235,1500,01-10-2022,00:49:00
423,500,01-10-2022,00:49:00
984,5000,01-10-2022,00:50:00
796,1100,01-10-2022,00:57:00
395,5000,01-10-2022,00:57:00
137,10000,01-10-2022,00:58:00
837,500,01-10-2022,01:01:00
618,2000,01-10-2022,01:01:00
450,200,01-10-2022,01:05:00
914,2500,01-10-2022,01:08:00
565,50,01-10-2022,01:09:00
776,6000,01-10-2022,01:11:00
251,800,01-10-2022,01:14:00
505,4000,01-10-2022,01:14:00
220,5500,01-10-2022,01:15:00
972,1000,01-10-2022,01:17:00
421,10000,01-10-2022,01:19:00
539,1350,01-10-2022,01:19:00
514,1000,01-10-2022,01:19:00
114,10000,01-10-2022,01:20:00
909,700,01-10-2022,01:21:00
881,6000,01-10-2022,01:24:00
390,3300,01-10-2022,01:25:00
9,1693,01-10-2022,01:27:00
972,65,01-10-2022,01:27:00
352,5000,01-10-2022,01:29:00
145,1000,01-10-2022,01:30:00
449,10203,01-10-2022,01:32:00
9,1752,01-10-2022,01:33:00
980,300,01-10-2022,01:34:00
199,2000,01-10-2022,01:37:00
637,3500,01-10-2022,01:37:00
628,1000,01-10-2022,01:38:00
393,200,01-10-2022,01:41:00
445,2000,01-10-2022,01:41:00
628,1000,01-10-2022,01:43:00
367,1000,01-10-2022,01:50:00
586,500,01-10-2022,01:52:00
708,12000,01-10-2022,01:53:00
450,1000,01-10-2022,01:57:00
424,2000,01-10-2022,02:00:00
831,500,01-10-2022,02:01:00
352,550,01-10-2022,02:01:00
139,500,01-10-2022,02:03:00
532,500,01-10-2022,02:08:00
440,2000,01-10-2022,02:10:00
135,1000,01-10-2022,02:30:00
514,2000,01-10-2022,02:32:00
317,2000,01-10-2022,02:36:00
599,4000,01-10-2022,02:37:00
508,10000,01-10-2022,02:45:00
618,2000,01-10-2022,02:52:00
604,2000,01-10-2022,02:52:00
557,5000,01-10-2022,03:02:00
421,8000,01-10-2022,03:03:00
367,1000,01-10-2022,03:08:00
