User_Id,Amount,Date,time
190,5872,01-10-2022,00:03:00
159,9540,01-10-2022,00:16:00
164,815,01-10-2022,00:24:00
946,23000,01-10-2022,00:29:00
763,9473,01-10-2022,00:40:00
47,3637,01-10-2022,01:01:00
302,2000,01-10-2022,01:11:00
461,9800,01-10-2022,01:17:00
12,1800,01-10-2022,01:27:00
530,16000,01-10-2022,01:32:00
471,25000,01-10-2022,02:00:00
968,2000,01-10-2022,02:03:00
157,27777,01-10-2022,02:45:00
47,1873,01-10-2022,02:52:00
313,6000,01-10-2022,03:27:00
852,10850,01-10-2022,03:29:00
804,1719,01-10-2022,03:32:00
417,2750,01-10-2022,03:33:00
480,3887,01-10-2022,03:45:00
164,5200,01-10-2022,03:50:00
946,35000,01-10-2022,03:57:00
633,10000,01-10-2022,04:05:00
689,200,01-10-2022,04:05:00
234,3802,01-10-2022,04:25:00
941,60000,01-10-2022,04:36:00
390,5000,01-10-2022,04:38:00
637,1000,01-10-2022,05:25:00
506,6000,01-10-2022,05:48:00
667,5289,01-10-2022,05:51:00
422,22000,01-10-2022,06:05:00
27,6000,01-10-2022,06:44:00
677,10000,01-10-2022,06:52:00
16,9999,01-10-2022,06:52:00
941,175000,01-10-2022,06:54:00
238,51000,01-10-2022,07:29:00
272,16705,01-10-2022,07:34:00
625,21700,01-10-2022,07:52:00
541,3700,01-10-2022,08:01:00
946,39000,01-10-2022,08:26:00
421,7000,01-10-2022,08:30:00
253,56069,01-10-2022,08:42:00
598,12000,01-10-2022,08:57:00
407,9000,01-10-2022,09:03:00
276,12925,01-10-2022,09:05:00
421,12200,01-10-2022,09:50:00
880,240000,01-10-2022,09:54:00
440,3300,01-10-2022,10:03:00
262,500,01-10-2022,10:09:00
464,48600,01-10-2022,10:11:00
335,20000,01-10-2022,10:15:00
940,50000,01-10-2022,10:17:00
774,50000,01-10-2022,10:36:00
599,13144,01-10-2022,10:40:00
261,500,01-10-2022,10:54:00
9,49900,01-10-2022,11:08:00
99,61791,01-10-2022,11:36:00
299,10000,01-10-2022,11:39:00
97,12000,01-10-2022,11:42:00
187,2000,01-10-2022,12:05:00
99,23198,01-10-2022,12:08:00
421,7800,01-10-2022,12:13:00
471,17015,01-10-2022,12:33:00
885,15000,01-10-2022,12:40:00
296,13156,01-10-2022,12:40:00
502,500,01-10-2022,12:41:00
11,2500,01-10-2022,13:12:00
412,1700,01-10-2022,13:27:00
962,5100,01-10-2022,13:31:00
474,24000,01-10-2022,13:46:00
888,5000,01-10-2022,13:58:00
31,2000,01-10-2022,14:13:00
852,6500,01-10-2022,14:16:00
987,4400,01-10-2022,14:18:00
666,4000,01-10-2022,14:28:00
663,10474,01-10-2022,14:39:00
852,9250,01-10-2022,14:57:00
888,199,01-10-2022,15:02:00
74,2080,01-10-2022,15:14:00
114,7500,01-10-2022,15:21:00
989,75000,01-10-2022,15:35:00
634,258533,01-10-2022,15:53:00
795,5500,01-10-2022,16:22:00
292,8900,01-10-2022,17:07:00
514,7000,01-10-2022,17:12:00
929,9636,01-10-2022,17:17:00
2,55000,01-10-2022,18:03:00
471,250,01-10-2022,18:05:00
246,5000,01-10-2022,18:14:00
380,7000,01-10-2022,18:15:00
972,3500,01-10-2022,18:17:00
296,7000,01-10-2022,18:18:00
508,20000,01-10-2022,18:21:00
634,295671,01-10-2022,18:25:00
540,75000,01-10-2022,18:33:00
681,132000,01-10-2022,18:40:00
565,200,01-10-2022,18:44:00
292,12049,01-10-2022,18:45:00
845,22700,01-10-2022,18:46:00
850,33451,01-10-2022,19:05:00
733,125,01-10-2022,19:08:00
16,8222,01-10-2022,19:34:00
775,5000,01-10-2022,19:38:00
483,8050,01-10-2022,20:04:00
142,43400,01-10-2022,20:14:00
509,173,01-10-2022,20:34:00
933,5500,01-10-2022,20:43:00
987,1750,01-10-2022,21:01:00
890,50000,01-10-2022,21:06:00
155,5500,01-10-2022,21:32:00
31,6000,01-10-2022,21:43:00
518,1650,01-10-2022,21:46:00
422,25000,01-10-2022,21:53:00
827,25000,01-10-2022,22:01:00
660,500,01-10-2022,22:16:00
565,2492,01-10-2022,22:27:00
667,4015,01-10-2022,22:29:00
944,1000,01-10-2022,22:32:00
433,100000,01-10-2022,22:38:00
989,130000,01-10-2022,22:48:00
627,9671,01-10-2022,23:16:00
934,2000,01-10-2022,23:30:00
474,6000,01-10-2022,23:41:00
222,60632,02-10-2022,00:23:00
351,5479,02-10-2022,00:30:00
99,43478,02-10-2022,00:36:00
920,13000,02-10-2022,00:46:00
637,3800,02-10-2022,00:51:00
856,15000,02-10-2022,01:22:00
663,10634,02-10-2022,01:29:00
560,7797,02-10-2022,02:07:00
688,62366,02-10-2022,02:09:00
39,14200,02-10-2022,02:12:00
920,25490,02-10-2022,02:18:00
370,39347,02-10-2022,02:26:00
634,295671,02-10-2022,02:35:00
365,45451,02-10-2022,02:48:00
448,6000,02-10-2022,03:17:00
784,5500,02-10-2022,03:33:00
774,66000,02-10-2022,03:37:00
949,124500,02-10-2022,03:48:00
196,40000,02-10-2022,04:17:00
936,6857,02-10-2022,04:18:00
602,7028,02-10-2022,04:41:00
78,22000,02-10-2022,05:06:00
829,3500,02-10-2022,05:09:00
845,22000,02-10-2022,05:10:00
153,10000,02-10-2022,05:28:00
487,30000,02-10-2022,05:35:00
47,5617,02-10-2022,05:45:00
663,2803,02-10-2022,06:24:00
430,10000,02-10-2022,06:38:00
625,17000,02-10-2022,06:45:00
307,19315,02-10-2022,06:49:00
93,22000,02-10-2022,07:31:00
396,3955,02-10-2022,07:32:00
663,2127,02-10-2022,07:35:00
403,10000,02-10-2022,07:36:00
159,22712,02-10-2022,07:48:00
502,16538,02-10-2022,07:55:00
574,9000,02-10-2022,07:56:00
76,1659,02-10-2022,08:11:00
518,150,02-10-2022,08:38:00
238,25000,02-10-2022,08:43:00
106,10000,02-10-2022,08:55:00
566,180041,02-10-2022,09:03:00
944,500,02-10-2022,09:06:00
542,6000,02-10-2022,09:09:00
435,1600,02-10-2022,09:11:00
93,33000,02-10-2022,09:51:00
518,5500,02-10-2022,10:06:00
836,15000,02-10-2022,10:13:00
310,40000,02-10-2022,10:23:00
52,9520,02-10-2022,10:37:00
47,1700,02-10-2022,10:49:00
672,60000,02-10-2022,11:25:00
517,8700,02-10-2022,11:46:00
980,5000,02-10-2022,12:13:00
190,327,02-10-2022,12:40:00
164,5200,02-10-2022,12:42:00
33,8000,02-10-2022,12:49:00
625,14249,02-10-2022,13:25:00
289,8000,02-10-2022,13:56:00
634,268616,02-10-2022,13:59:00
946,12000,02-10-2022,14:00:00
299,46000,02-10-2022,14:59:00
421,10600,02-10-2022,15:44:00
330,4000,02-10-2022,15:49:00
944,550,02-10-2022,15:55:00
634,124600,02-10-2022,15:58:00
515,15000,02-10-2022,16:25:00
473,1500,02-10-2022,16:32:00
78,38000,02-10-2022,17:11:00
421,18200,02-10-2022,17:11:00
196,9000,02-10-2022,17:30:00
421,30000,02-10-2022,18:17:00
907,2792,02-10-2022,18:19:00
936,4598,02-10-2022,19:05:00
508,30000,02-10-2022,19:10:00
338,7000,02-10-2022,19:17:00
836,10000,02-10-2022,19:25:00
978,18001,02-10-2022,19:33:00
497,10000,02-10-2022,19:37:00
16,10842,02-10-2022,19:45:00
